Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	N_ul	N_16	N_16C9	N_17
TG 51:3;Y	10.5	11.4	10.1	8.9	10.9	9.6	11.6	8.5	8.0	10.4	9.4	6.0	2	0	0	1
TG 51:2;Y	49.7	53.0	47.0	43.1	51.4	47.1	58.8	41.5	40.9	52.8	46.4	30.7	2	0	0	1
TG 51:1;Y	59.7	64.6	56.9	55.1	64.4	59.9	77.0	54.3	52.2	69.9	62.3	37.9	2	0	0	1
TG 53:7;Y	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.1	0.2	0.2	0.1	0.1	2	0	0	1
TG 53:6;Y	1.1	1.2	1.1	1.1	1.1	1.1	1.4	1.1	0.9	1.3	1.0	0.8	2	0	0	1
TG 53:5;Y	2.8	2.9	2.7	2.3	2.7	2.8	3.1	2.3	2.1	2.9	2.4	1.7	2	0	0	1
TG 53:4;Y	6.4	8.0	6.6	5.7	7.2	6.7	7.7	5.8	5.2	7.5	6.7	4.4	2	0	0	1
TG 53:3;Y	12.0	13.1	10.9	11.1	12.6	11.1	15.2	9.4	9.3	13.6	10.4	7.1	2	0	0	1
TG 53:2;Y	17.1	19.6	15.1	16.4	18.1	15.3	23.5	15.2	13.4	21.1	16.1	10.1	2	0	0	1
TG 53:1;Y	1.6	1.7	1.9	1.6	2.0	1.8	2.1	1.0	1.6	2.0	1.8	1.1	2	0	0	1
TG 55:9;Y	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	2	0	0	1
TG 55:8;Y	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	2	0	0	1
TG 55:7;Y	2.0	2.4	2.0	1.8	2.7	2.0	2.5	2.0	1.6	2.2	2.1	1.3	2	0	0	1
TG 55:6;Y	6.8	6.9	6.6	5.8	6.7	6.3	8.1	4.6	5.7	7.0	5.5	4.2	2	0	0	1
TG 55:5;Y	4.2	5.2	4.7	3.8	5.0	4.4	5.2	4.0	3.6	5.0	4.0	3.0	2	0	0	1
TG 55:4;Y	3.1	3.6	3.2	2.8	3.0	3.2	3.4	2.7	2.5	3.0	2.5	2.3	2	0	0	1
TG 55:3;Y	1.3	1.4	1.2	1.2	1.3	1.0	1.5	1.0	0.8	1.4	1.1	0.7	2	0	0	1
TG 55:2;Y	1.4	1.8	1.5	1.3	1.5	1.2	1.6	1.3	1.2	1.5	1.4	0.9	2	0	0	1
TG 55:1;Y	0.4	0.7	0.6	0.5	0.5	0.5	0.7	0.4	0.4	0.5	0.5	0.4	2	0	0	1
TG 57:9;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.0	2	0	0	1
TG 57:8;Y	0.8	1.0	0.6	0.7	0.8	0.6	0.9	0.5	0.5	0.8	0.7	0.4	2	0	0	1
TG 57:7;Y	2.6	3.1	2.3	2.5	2.9	2.3	3.1	2.2	2.0	2.9	2.7	1.5	2	0	0	1
TG 57:6;Y	1.8	2.3	1.9	1.6	1.8	1.8	2.0	1.5	1.5	2.0	1.7	1.3	2	0	0	1
TG 57:5;Y	0.8	0.9	0.9	0.6	0.9	0.7	0.9	0.7	0.5	0.8	0.7	0.5	2	0	0	1
TG 57:4;Y	0.2	0.3	0.2	0.2	0.2	0.2	0.4	0.2	0.2	0.4	0.2	0.2	2	0	0	1
TG 57:3;Y	0.1	0.2	0.2	0.1	0.2	0.2	0.1	0.1	0.1	0.2	0.1	0.1	2	0	0	1
DG 32:0;Y2	0.66	0.85	0.90	1.02	1.02	1.25	0.98	0.84	0.84	0.97	1.26	1.00	0	2	0	0
DG 33:0;Y2	0.46	0.61	0.82	0.66	0.76	0.85	0.92	0.99	0.99	0.73	1.18	0.66	0	1	0	1
DG 32:0;Y2	0.41	0.65	0.57	0.73	0.76	0.61	0.70	0.75	0.73	0.65	0.98	0.74	0	0	2	0
DG 33:0;Y2	0.75	0.76	0.94	0.84	1.16	1.29	0.96	0.82	0.99	0.80	1.15	0.66	0	0	1	1
DG 34:0;Y2	11.37	11.60	14.11	13.01	14.32	15.30	14.81	13.59	13.90	12.22	15.79	11.30	0	0	0	2
TG 48:2;Y2	0.34	0.76	0.66	0.52	0.52	0.69	0.86	0.85	0.63	0.69	0.75	0.33	1	1	1	0
TG 48:1;Y2	8.31	8.72	9.17	10.02	8.85	11.56	12.48	12.77	10.51	8.98	10.55	5.93	1	1	1	0
TG 48:0;Y2	13.70	14.16	15.38	15.73	16.40	17.66	21.13	15.84	15.79	15.93	19.62	12.48	1	1	1	0
TG 50:2;Y2	8.95	12.59	11.38	9.78	10.61	11.10	11.92	10.48	9.29	10.11	11.80	7.95	1	1	1	0
TG 50:1;Y2	28.36	36.91	36.39	27.88	32.92	39.17	39.12	37.03	36.86	35.31	41.40	26.16	1	1	1	0
TG 52:5;Y2	0.46	0.37	0.19	0.25	0.34	0.38	0.41	0.64	0.19	0.49	0.29	0.25	1	1	1	0
TG 52:4;Y2	1.17	1.41	0.91	1.30	1.39	1.32	1.63	1.61	1.49	1.29	1.76	1.15	1	1	1	0
